Zeit,Kanal A,Kanal B
(ms),(V),(V)

-10.00424568,0.01648000,0.00000000
-10.00168568,0.01648000,0.00000000
-9.99912568,0.01403851,0.00000000
-9.99656568,0.01403851,0.00000000
-9.99400568,0.01403851,0.00000000
-9.99144568,0.01403851,0.00000000
-9.98888568,0.01403851,0.00000000
-9.98632568,0.01403851,0.00000000
-9.98376568,0.01098666,0.00000000
-9.98120568,0.01098666,0.00000000
-9.97864568,0.01098666,0.00000000
-9.97608568,0.01098666,0.00000000
-9.97352568,0.01098666,0.00000000
-9.97096568,0.01098666,0.00000000
-9.96840568,0.01403851,0.00000000
-9.96584568,0.01403851,0.00000000
-9.96328568,0.01648000,0.00000000
-9.96072568,0.01648000,0.00000000
-9.95816568,0.01403851,0.00000000
-9.95560568,0.01403851,0.00000000
-9.95304568,0.01403851,0.00000000
-9.95048568,0.01403851,0.00000000
-9.94792568,0.01098666,0.00000000
-9.94536568,0.00854518,0.00000000
-9.94280568,0.00854518,0.00000000
-9.94024568,0.01098666,0.00000000
-9.93768568,0.00854518,0.00000000
-9.93512568,0.00854518,0.00000000
-9.93256568,0.00854518,0.00000000
-9.93000568,0.00854518,0.00000000
-9.92744568,0.00854518,0.00000000
-9.92488568,0.00854518,0.00000000
-9.92232568,0.00549333,0.00000000
-9.91976568,0.00549333,0.00000000
-9.91720568,0.00854518,0.00000000
-9.91464568,0.00854518,0.00000000
-9.91208568,0.00854518,0.00000000
-9.90952568,0.00854518,0.00000000
-9.90696568,0.00854518,0.00000000
-9.90440568,0.00854518,0.00000000
-9.90184568,0.00854518,0.00000000
-9.89928568,0.00854518,0.00000000
-9.89672568,0.00854518,0.00000000
-9.89416568,0.00854518,0.00000000
-9.89160568,0.00549333,0.00000000
-9.88904568,0.00549333,0.00000000
-9.88648568,0.00549333,0.00000000
-9.88392568,0.00854518,0.00000000
-9.88136568,0.00854518,0.00000000
-9.87880568,0.01098666,0.00000000
-9.87624568,0.01098666,0.00000000
-9.87368568,0.00854518,0.00000000
-9.87112568,0.00854518,0.00000000
-9.86856568,0.00854518,0.00000000
-9.86600568,0.00854518,0.00000000
-9.86344568,0.00854518,0.00000000
-9.86088568,0.00854518,0.00000000
-9.85832568,0.00854518,0.00000000
-9.85576568,0.00854518,0.00000000
-9.85320568,0.00854518,0.00000000
-9.85064568,0.00549333,0.00000000
-9.84808568,0.00854518,0.00000000
-9.84552568,0.01098666,0.00000000
-9.84296568,0.01098666,0.00000000
-9.84040568,0.01403851,0.00000000
-9.83784568,0.01403851,0.00000000
-9.83528568,0.01403851,0.00000000
-9.83272568,0.01403851,0.00000000
-9.83016568,0.01403851,0.00000000
-9.82760568,0.01403851,0.00000000
-9.82504568,0.01403851,0.00000000
-9.82248568,0.01403851,0.00000000
-9.81992568,0.01648000,0.00000000
-9.81736568,0.01953185,0.00000000
-9.81480568,0.01953185,0.00000000
-9.81224568,0.02258370,0.00000000
-9.80968568,0.02258370,0.00000000
-9.80712568,0.01953185,0.00000000
-9.80456568,0.01648000,0.00000000
-9.80200568,0.01403851,0.00000000
-9.79944568,0.01098666,0.00000000
-9.79688568,0.01403851,0.00000000
-9.79432568,0.01403851,0.00000000
-9.79176568,0.01403851,0.00000000
-9.78920568,0.01403851,0.00000000
-9.78664568,0.01403851,0.00000000
-9.78408568,0.01648000,0.00000000
-9.78152568,0.01648000,0.00000000
-9.77896568,0.01648000,0.00000000
-9.77640568,0.01403851,0.00000000
-9.77384568,0.01403851,0.00000000
-9.77128568,0.01403851,0.00000000
-9.76872568,0.01648000,0.00000000
-9.76616568,0.01648000,0.00000000
-9.76360568,0.01953185,0.00000000
-9.76104568,0.01953185,0.00000000
-9.75848568,0.01953185,0.00000000
-9.75592568,0.01953185,0.00000000
-9.75336568,0.01953185,0.00000000
-9.75080568,0.01953185,0.00000000
-9.74824568,0.01953185,0.00000000
-9.74568568,0.01953185,0.00000000
-9.74312568,0.02258370,0.00000000
-9.74056568,0.02502518,0.00000000
-9.73800568,0.02502518,0.00000000
-9.73544568,0.02502518,0.00000000
-9.73288568,0.02807703,0.00000000
-9.73032568,0.02807703,0.00000000
-9.72776568,0.03051851,0.00000000
-9.72520568,0.03051851,0.00000000
-9.72264568,0.03051851,0.00000000
-9.72008568,0.03051851,0.00000000
-9.71752568,0.03357036,0.00000000
-9.71496568,0.03051851,0.00000000
-9.71240568,0.03051851,0.00000000
-9.70984568,0.03051851,0.00000000
-9.70728568,0.03357036,0.00000000
-9.70472568,0.03357036,0.00000000
-9.70216568,0.03357036,0.00000000
-9.69960568,0.03357036,0.00000000
